"No.","Time","Source","Destination","Protocol","Length","Info","Window"
"699","4.941159","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=854439 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"700","4.941159","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"701","4.941159","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=857359 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"702","4.941159","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=858819 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"703","4.941159","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"704","4.941159","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=861739 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"705","4.941159","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=863199 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"706","4.941159","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"707","4.941159","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=866119 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"708","4.941159","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=867579 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"709","4.942199","192.168.1.122","130.192.1.34","TCP","54","64177  >  443 [ACK] Seq=734 Ack=869039 Win=710912 Len=0","2777"
"710","4.942846","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
