"No.","Time","Source","Destination","Protocol","Length","Info","Window"
"6929","2.976177","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6930","2.976177","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9487754 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6931","2.976177","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6932","2.976177","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9490674 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6933","2.976177","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9492134 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6934","2.976177","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6935","2.976177","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9495054 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6936","2.976177","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9496514 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6937","2.976177","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6938","2.976177","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9499434 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6939","2.976177","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9500894 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6940","2.976177","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6941","2.976177","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9503814 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6942","2.976177","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9505274 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6943","2.976177","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6944","2.976177","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9508194 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6945","2.976177","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6946","2.976177","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9511114 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6947","2.976177","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9512574 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6948","2.976177","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6949","2.976177","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9515494 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6950","2.976177","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9516954 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6951","2.976177","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6952","2.976177","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9519874 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6953","2.976177","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9521334 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6954","2.976177","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6955","2.976721","192.168.1.122","130.192.1.34","TCP","54","64189  >  443 [ACK] Seq=735 Ack=9524254 Win=655104 Len=0","2559"
"6956","2.977014","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9524254 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6957","2.977014","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9525714 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
